S,DoF,Contents,Codecs,Bitrates,Scores
1,1,1,1,1,2
1,1,1,1,2,4
1,1,1,1,3,4
1,1,1,1,4,6
1,1,1,2,1,2
1,1,1,2,2,2
1,1,1,2,3,3
1,1,1,2,4,6
1,1,2,1,1,2
1,1,2,1,2,3
1,1,2,1,3,4
1,1,2,1,4,5
1,1,2,2,1,1
1,1,2,2,2,1
1,1,2,2,3,2
1,1,2,2,4,3
1,1,3,1,1,2
1,1,3,1,2,3
1,1,3,1,3,5
1,1,3,1,4,5
1,1,3,2,1,1
1,1,3,2,2,1
1,1,3,2,3,2
1,1,3,2,4,3
1,1,4,1,1,2
1,1,4,1,2,2
1,1,4,1,3,3
1,1,4,1,4,4
1,1,4,2,1,1
1,1,4,2,2,1
1,1,4,2,3,3
1,1,4,2,4,4
2,1,1,1,1,4
2,1,1,1,2,5
2,1,1,1,3,5
2,1,1,1,4,6
2,1,1,2,1,3
2,1,1,2,2,3
2,1,1,2,3,4
2,1,1,2,4,6
2,1,2,1,1,3
2,1,2,1,2,4
2,1,2,1,3,4
2,1,2,1,4,4
2,1,2,2,1,2
2,1,2,2,2,2
2,1,2,2,3,3
2,1,2,2,4,3
2,1,3,1,1,2
2,1,3,1,2,3
2,1,3,1,3,4
2,1,3,1,4,5
2,1,3,2,1,2
2,1,3,2,2,2
2,1,3,2,3,3
2,1,3,2,4,4
2,1,4,1,1,3
2,1,4,1,2,5
2,1,4,1,3,5
2,1,4,1,4,6
2,1,4,2,1,3
2,1,4,2,2,3
2,1,4,2,3,4
2,1,4,2,4,6
3,1,1,1,1,6
3,1,1,1,2,7
3,1,1,1,3,8
3,1,1,1,4,7
3,1,1,2,1,5
3,1,1,2,2,5
3,1,1,2,3,7
3,1,1,2,4,6
3,1,2,1,1,4
3,1,2,1,2,5
3,1,2,1,3,7
3,1,2,1,4,7
3,1,2,2,1,3
3,1,2,2,2,3
3,1,2,2,3,4
3,1,2,2,4,6
3,1,3,1,1,6
3,1,3,1,2,5
3,1,3,1,3,6
3,1,3,1,4,7
3,1,3,2,1,4
